Price,Close,High,Low,Open,Volume
Ticker,ASML.AS,ASML.AS,ASML.AS,ASML.AS,ASML.AS
Date,,,,,
2014-05-13,54.03219985961914,54.267833667744206,53.79656950866429,54.222520537618685,1167858
2014-05-14,53.78750991821289,53.93251402269225,53.64250581373353,53.914391534656566,1260388
2014-05-15,53.2890625,53.69688765463391,53.098745246894445,53.50657040152836,1331675
2014-05-16,53.49749755859375,53.56093663330832,53.16217624122097,53.35249346536469,1249169
2014-05-19,53.841896057128906,53.932522339965594,53.19844046034357,53.6515787888692,891408
2014-05-20,53.85093688964844,54.03219284378549,53.71499751692298,53.71499751692298,768241
2014-05-21,54.467220306396484,54.55785003741983,53.65157347021077,53.65157347021077,993656
2014-05-22,55.17412185668945,55.27381283851216,54.74817073696373,54.938487998350176,1204162
2014-05-23,55.33725357055664,55.636323067743696,55.06536780944159,55.39162795704279,1075592
2014-05-26,55.67255783081055,55.77224878491764,55.44598873771989,55.4822406223352,583994
2014-05-27,56.841670989990234,56.93229726956397,55.4550654037496,55.55475638558328,1412647
2014-05-28,56.74197769165039,56.79635207430639,56.297900642658355,56.73291298976051,1136289
2014-05-29,56.74197769165039,56.98667278511488,56.297900642658355,56.59697357594967,604539
2014-05-30,57.059181213378906,57.41262857949466,56.65135599971791,56.65135599971791,1250766
2014-06-02,57.394493103027344,57.75700163313738,57.294802133666664,57.63918471869562,906683
2014-06-03,57.56669235229492,57.75700961619575,57.03198899859426,57.63919268546957,1009663
2014-06-04,57.67543029785156,57.82949908559685,57.24041803501746,57.25854397811515,973698
2014-06-05,58.14670181274414,59.188914224973836,57.648246986976304,57.729812007813734,2359519
2014-06-06,59.08017349243164,59.39736891809137,58.27358787532189,58.27358787532189,1554700
2014-06-09,59.49704360961914,59.49704360961914,58.871710717114816,59.21609324007991,663160
2014-06-10,59.68736267089844,59.932054250085834,59.20703729795798,59.47891606212842,836229
2014-06-11,60.249263763427734,60.412393807296816,59.424548843217146,59.77799611921001,1252556
2014-06-12,60.08613586425781,60.475835043280384,59.9683154918275,60.19488462115827,1046044
2014-06-13,59.832366943359375,60.61176522731054,59.74174068311073,60.376138333532154,1089009
2014-06-16,60.58458709716797,60.68427807264594,59.81425339839033,59.92300907555034,1136528
2014-06-17,61.028648376464844,61.32772124261073,60.6842658397254,60.73864021017371,1053116
2014-06-18,61.94398880004883,62.32462321781023,61.18271996452604,61.32772058895608,1454219
2014-06-19,62.02557373046875,62.74153308589293,62.00744432614103,62.614647998624456,1589764
2014-06-20,63.0859260559082,63.330617739724936,61.55431611311208,61.97120259457135,2104914
2014-06-23,61.554298400878906,63.36685140618871,61.52711121209382,63.36685140618871,1892146
2014-06-24,62.14338684082031,62.31558160922572,61.6268094499459,62.07994775472492,1044305
2014-06-25,61.53618621826172,62.30651999165374,61.35492673877162,61.63587720339574,1138072
2014-06-26,61.0377197265625,62.08900376537097,60.82021530673141,61.62680082318167,1185757
2014-06-27,61.28242111206055,61.40929927241822,60.530209936839235,61.22803981880643,944019
2014-06-30,61.635860443115234,61.92586861709701,61.09209598119193,61.291470982902936,831323
2014-07-01,62.60559844970703,62.74154134268762,61.83526460860735,61.99839469731551,848787
2014-07-02,62.17057418823242,62.98622452174205,61.989321631604426,62.750590666652194,859400
2014-07-03,63.66592788696289,63.75655415944972,62.12526051166262,62.33370024694819,1327050
2014-07-04,64.05562591552734,64.42719570026189,63.44842229514328,63.919683052101036,876580
2014-07-07,63.81998825073242,64.51782501442523,63.81093046423104,63.98311829418807,988590
2014-07-08,62.750572204589844,64.08279953830606,62.73244971999566,63.892482335538006,1010956
2014-07-09,62.26119613647461,63.1402854951003,62.14338267429416,62.6418375418679,1380191
2014-07-10,61.75368881225586,62.5602744571597,61.463680568181914,62.30651810788774,1737441
2014-07-11,61.101165771484375,61.88962889050357,60.7386537541994,61.86244169921699,1276266
2014-07-14,60.756771087646484,61.30960024845085,60.50301480026224,60.9561530032599,1277221
2014-07-15,60.68427276611328,60.85646751130703,60.08613387989117,60.26738641163342,1096615
2014-07-16,58.7901611328125,61.13741403232015,58.28264157302989,59.270486588582564,3159348
2014-07-17,58.0016975402832,59.11642070719563,57.91107127074474,59.10735600593944,1381168
2014-07-18,57.70262145996094,58.001694355925466,56.823535630754805,58.001694355925466,1697890
2014-07-21,58.735782623291016,58.81735111051269,57.54856252242555,57.63918879707287,1592437
2014-07-22,58.91703796386719,59.279549951429146,58.482022195924614,58.99859953103957,1237983
2014-07-23,58.68140411376953,59.5876806251791,58.50920936401257,58.72672070507643,1052224
2014-07-24,58.40046310424805,58.80828478607896,57.82950790964583,58.79016229738615,1001506
2014-07-25,57.2223014831543,58.27358561233451,57.05917142567259,58.09232615160959,1046746
2014-07-28,56.85072708129883,57.5304344879961,56.325088484515014,57.46699540661134,1001697
2014-07-29,56.37039566040039,56.83259512693313,55.97163181137499,56.7419688651566,1652913
2014-07-30,64.23686218261719,64.48156065765775,55.80849667197218,56.29788325054406,6497116
2014-07-31,64.12812805175781,65.4784781212886,63.76561606337381,64.43625874756252,3216986
2014-08-01,62.714317321777344,64.20967460268565,62.21586950436755,64.11904835536927,2078823
2014-08-04,61.508995056152344,62.66902799267108,61.327735588357726,62.66902799267108,1584267
2014-08-05,61.92587661743164,62.43338925888131,60.77490155856249,61.45460895236452,1355684
2014-08-06,62.3427619934082,62.63277020022429,61.463672671838495,61.6811770983653,1347343
2014-08-07,62.30651092529297,63.33966560785235,62.14338087466037,62.333698114674874,1147360
2014-08-08,61.309593200683594,61.94398384621863,60.72051222163565,61.798983233384675,2876811
2014-08-11,62.53307342529297,62.82308160518448,61.798991732454546,61.934927664950244,923569
2014-08-12,61.90774154663086,63.1130908740533,61.81711528528989,62.623700765603424,1001081
2014-08-13,61.80805969238281,62.10713262178343,61.17366885517686,61.962131965139875,989032
2014-08-14,61.66305160522461,61.898685422510304,61.23710055971071,61.86243353413245,976384
2014-08-15,61.49085998535156,62.54214405865142,61.373046527898744,62.00743732086171,1264398
2014-08-18,62.732460021972656,62.82308628850591,61.98931357345447,61.98931357345447,1052324
2014-08-19,63.44840621948242,63.63872341432286,62.62369146083435,62.8502605376929,727848
2014-08-20,63.203739166259766,63.65687754525515,62.88654368383159,63.29436545919025,645744
2014-08-21,63.90156936645508,64.02844754597345,63.01341519548431,63.14029337500268,900517
2014-08-22,64.10093688964844,64.34562849089548,63.239970106306714,64.21875033997617,987133
2014-08-25,65.3787841796875,65.3787841796875,64.48157240783618,64.82595497825872,938468
2014-08-26,65.72315979003906,65.74128918960184,64.61750841861054,65.20658253194031,862876
